;Date;Week_day;Open;Close;Change
160;10/06/22;Friday; 29,453.62 ; 29,204.02 ;-0.85%
161;11/06/22;Saturday; 28,622.76 ; 28,408.17 ;-0.75%
162;12/06/22;Sunday; 27,462.01 ; 27,377.00 ;-0.31%
163;13/06/22;Monday; 23,427.21 ; 23,245.83 ;-0.77%
164;14/06/22;Tuesday; 22,125.32 ; 21,989.87 ;-0.61%
165;15/06/22;Wednesday; 21,376.16 ; 21,681.79 ;1.43%
166;16/06/22;Thursday; 21,047.34 ; 20,712.58 ;-1.59%
167;17/06/22;Friday; 20,488.27 ; 20,652.65 ;0.80%
168;18/06/22;Saturday; 19,191.89 ; 17,809.00 ;-7.21%
169;19/06/22;Sunday; 19,368.88 ; 20,639.48 ;6.56%
170;20/06/22;Monday; 20,634.91 ; 20,455.54 ;-0.87%
171;21/06/22;Tuesday; 21,519.33 ; 20,859.86 ;-3.06%
172;22/06/22;Wednesday; 20,800.77 ; 19,879.97 ;-4.43%
173;23/06/22;Thursday; 20,464.11 ; 20,815.25 ;1.72%
174;24/06/22;Friday; 21,250.99 ; 21,200.42 ;-0.24%
175;25/06/22;Saturday; 21,090.75 ; 21,226.14 ;0.64%
176;26/06/22;Sunday; 21,471.68 ; 21,401.73 ;-0.33%
177;27/06/22;Monday; 20,680.00 ; 20,913.56 ;1.13%
178;28/06/22;Tuesday; 20,840.00 ; 20,277.57 ;-2.70%
179;29/06/22;Wednesday; 20,118.56 ; 20,224.04 ;0.52%
180;30/06/22;Thursday; 18,940.88 ; 18,755.93 ;-0.98%
181;1/07/22;Friday; 19,342.07 ; 19,431.77 ;0.46%
182;2/07/22;Saturday; 19,310.82 ; 19,263.30 ;-0.25%
183;3/07/22;Sunday; 19,049.70 ; 19,445.43 ;2.08%
184;4/07/22;Monday; 19,587.95 ; 19,782.79 ;0.99%
185;5/07/22;Tuesday; 19,509.30 ; 20,458.93 ;4.87%
186;6/07/22;Wednesday; 20,187.82 ; 20,399.74 ;1.05%
187;7/07/22;Thursday; 20,722.52 ; 21,624.03 ;4.35%
188;8/07/22;Friday; 21,461.06 ; 21,855.41 ;1.84%
189;9/07/22;Saturday; 21,652.85 ; 21,680.60 ;0.13%
190;10/07/22;Sunday; 20,951.33 ; 20,987.27 ;0.17%
191;11/07/22;Monday; 20,390.43 ; 20,431.78 ;0.20%
