Date,Week_day,Market,Start,Finish,Open,Close,Change,Change_pct,Volume
2018-03-02,Friday,london,08:00:00,14:29:59,11080.42,10790.0,-290.4200000000001,-0.0262101978083862,4644.103449
2018-03-02,Friday,new_york,14:30:00,20:59:59,10790.0,11064.86,274.8600000000006,0.0254735866543096,4726.608292000001
2018-03-03,Saturday,tokyo,02:00:00,07:59:59,11228.49,11317.0,88.51000000000022,0.0078826271386447,4659.127244
2018-03-03,Saturday,london,08:00:00,14:29:59,11317.0,11439.0,122.0,0.0107802421136342,4562.675467
2018-03-03,Saturday,new_york,14:30:00,20:59:59,11436.01,11327.99,-108.02000000000044,-0.0094456020937372,3255.1451780000007
2018-03-04,Sunday,tokyo,02:00:00,07:59:59,11409.0,11140.3,-268.7000000000007,-0.0235515820843195,3052.195941
2018-03-04,Sunday,london,08:00:00,14:29:59,11142.01,11170.0,27.98999999999978,0.002512114062005,7020.308404
2018-03-04,Sunday,new_york,14:30:00,20:59:59,11170.0,11478.09,308.09000000000015,0.0275819158460162,4756.641028999999
2018-03-05,Monday,tokyo,02:00:00,07:59:59,11479.0,11539.87,60.8700000000008,0.0053027267183554,4183.517069
2018-03-05,Monday,london,08:00:00,14:29:59,11539.87,11486.21,-53.66000000000167,-0.0046499657275169,6675.165567
2018-03-05,Monday,new_york,14:30:00,20:59:59,11490.0,11620.0,130.0,0.0113141862489121,14171.423064
2018-03-06,Tuesday,tokyo,02:00:00,07:59:59,11314.99,11270.0,-44.98999999999978,-0.0039761413841284,8892.343394000001
2018-03-06,Tuesday,london,08:00:00,14:29:59,11275.11,10885.0,-390.1100000000006,-0.034599218987664,6980.727184
2018-03-06,Tuesday,new_york,14:30:00,20:59:59,10880.05,10655.83,-224.21999999999932,-0.0206083611748106,9559.821868
2018-03-07,Wednesday,tokyo,02:00:00,07:59:59,10863.0,10510.0,-353.0,-0.0324956273589247,17045.553953
2018-03-07,Wednesday,london,08:00:00,14:29:59,10509.99,10624.4,114.40999999999984,0.0108858333832857,12618.623906
2018-03-07,Wednesday,new_york,14:30:00,20:59:59,10623.5,9755.0,-868.5,-0.0817527180307807,13162.43941
2018-03-08,Thursday,tokyo,02:00:00,07:59:59,9836.29,9936.98,100.68999999999868,0.0102365831019621,15506.405323
2018-03-08,Thursday,london,08:00:00,14:29:59,9936.98,9749.02,-187.95999999999916,-0.0189152036131701,12718.118215
2018-03-08,Thursday,new_york,14:30:00,20:59:59,9750.01,9332.25,-417.7600000000002,-0.0428471355413995,9888.863107
2018-03-09,Friday,tokyo,02:00:00,07:59:59,9079.86,8686.43,-393.4300000000003,-0.0433299632373186,14035.476385000002
2018-03-09,Friday,london,08:00:00,14:29:59,8685.0,9120.0,435.0,0.0500863557858377,11298.996918
2018-03-09,Friday,new_york,14:30:00,20:59:59,9120.0,8935.16,-184.84000000000012,-0.0202675438596491,10140.782714
2018-03-10,Saturday,tokyo,02:00:00,07:59:59,9287.09,9327.43,40.34000000000015,0.0043436641617558,9695.84314
2018-03-10,Saturday,london,08:00:00,14:29:59,9327.43,9446.98,119.54999999999929,0.012817035346285,10390.406789
2018-03-10,Saturday,new_york,14:30:00,20:59:59,9446.0,8825.0,-621.0,-0.0657421130637306,10489.861793000002
2018-03-11,Sunday,tokyo,02:00:00,07:59:59,8585.0,8704.0,119.0,0.0138613861386138,11742.861162
2018-03-11,Sunday,london,08:00:00,14:29:59,8700.0,9228.99,528.9899999999998,0.0608034482758621,12329.702896000004
2018-03-11,Sunday,new_york,15:30:00,21:59:59,9166.0,9519.0,353.0,0.038511891773947,10426.740059
2018-03-12,Monday,tokyo,02:00:00,07:59:59,9547.1,9599.92,52.81999999999971,0.0055325700998207,9909.369304000002
2018-03-12,Monday,london,08:00:00,14:29:59,9599.92,9430.05,-169.8700000000008,-0.0176949391244928,10028.486413
2018-03-12,Monday,new_york,15:30:00,21:59:59,9287.98,9128.9,-159.07999999999993,-0.0171275131944728,11124.538221
2018-03-13,Tuesday,tokyo,02:00:00,07:59:59,9088.0,9205.17,117.17000000000009,0.0128928257042253,11121.530574
2018-03-13,Tuesday,london,08:00:00,14:29:59,9205.17,9051.0,-154.17000000000007,-0.016748196937156,13292.240789
2018-03-13,Tuesday,new_york,15:30:00,21:59:59,8960.46,9099.0,138.54000000000087,0.0154612598013941,14117.420237
